evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,false_alerts_per_100,1.304772641863961,1.662532882375047,-0.357760240511086
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,event_coverage_by_human_review,0.043019961789314186,0.023914618881349232,0.019105342907964954
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,non_event_human_reviews_per_100,1.289740698985344,0.7455843667794062,0.5441563322059377
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,auto_capacity_blocks_per_100,19.74445697106351,18.496805712138293,1.2476512589252167
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,review_capacity_overflow_abstentions_per_100,6.093949642991356,7.509958662157084,-1.4160090191657275
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,alert_rate,0.07176249530251785,0.07176249530251785,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,human_review_rate,0.01836903419767005,0.01836903419767005,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,abstain_rate,0.07509958662157083,0.23266441187523487,-0.15756482525366405
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,no_action_rate,0.8347688838782412,0.6772040586245772,0.157564825253664
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.1208248237696818,0.1208248237696818,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,alert_precision,0.7683284457478006,0.7683284457478006,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,false_alerts_per_100,1.662532882375047,1.662532882375047,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.023914618881349232,0.023914618881349232,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.7455843667794062,0.7455843667794062,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,18.496805712138293,18.496805712138293,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,7.509958662157084,7.509958662157084,0.0
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
