evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,delta_arm_minus_full,ci_low,ci_high,bootstrap_unit,bootstrap_method,bootstrap_replicates,bootstrap_seed
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,no_action_rate,0.2820293122886133,0.2609868652135805,0.3035743870568251,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.007642137163185972,0.005183814932387816,0.010126537860284827,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,alert_precision,-0.013381531216240639,-0.02772011766675154,0.0013627864417401934,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,false_alerts_per_100,0.357760240511086,0.23433191713578472,0.4797458736844163,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.0009552671453982465,0.0003971090793276831,0.0015482984182258364,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.0,-0.02089154767757961,0.020907852349133237,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,28.20293122886133,26.09868652135806,30.357438705682494,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,1.5392709507703861,1.3191027373120308,1.7693976855752303,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,alert_rate,0.005997745208568203,0.004683215760869619,0.007340227967871348,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,human_review_rate,0.005426531379180758,0.003651041466794257,0.0072252853019653795,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,abstain_rate,-0.00542653137918081,-0.007225285301965341,-0.003651041466794218,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,no_action_rate,-0.005997745208568217,-0.0073402279678713486,-0.004683215760869647,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,event_coverage_by_alert,0.008893866526121619,0.006724897100107068,0.011096830660211528,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,alert_precision,0.0040990062186812,-0.0030074143763368618,0.011385498747351504,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,false_alerts_per_100,0.1939120631341602,0.12592287912857406,0.260437447385613,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,event_coverage_by_human_review,0.00938797022201726,0.0074746623697107195,0.011320124020241422,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,shared_capacity,full_controls,non_event_human_reviews_per_100,0.11424276587748972,0.0,0.23825761018216005,participant,paired cluster percentile,2000,20270813
