evidence_scenario,component_arm,dataset_id,evaluation_scope,model_name,n_participants,n_decisions,n_positive,n_alert,n_true_alerts,n_false_alerts,n_human_review,n_event_human_reviews,n_non_event_human_reviews,n_abstain,n_no_action,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,event_coverage_by_alert,alert_precision,false_alerts_per_100,event_coverage_by_human_review,non_event_human_reviews_per_100,auto_capacity_blocks_per_100,review_capacity_overflow_abstentions_per_100,route_rate_sum,n_invalid_evidence,n_action_on_invalid_evidence,invalid_evidence_action_acceptance_rate,n_invalid_evidence_forced_abstain,n_direct_evidence_gate_blocks,direct_evidence_gate_blocks_per_100,participant_alerts_median,participant_alerts_q1,participant_alerts_q3,participant_alerts_p90,participant_reviews_median,participant_reviews_q1,participant_reviews_q3,participant_reviews_p90,route_agreement_with_full,prediction_scores_changed,predictive_metric_credit_applicable
clean,shared_capacity,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,4358,2995,1363,1678,1068,610,11332,49157,14989,4298,0.06550920706501315,0.02522360015031943,0.17034197670048853,0.7389252160841788,0.09865603794716385,0.6872418540614961,2.0488538143555055,0.035180183147769946,0.9169485155956407,22.531379180759114,6.460729049229613,1.0,0,0,0.0,0,0,0.0,8.0,6.0,9.0,9.0,2.0,1.0,4.0,5.0,0.9776174370537392,False,False
clean,shared_capacity,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,299,196,103,288,151,137,3209,8004,2491,927,0.025338983050847457,0.02440677966101695,0.2719491525423729,0.6783050847457627,0.033833937510788885,0.6555183946488294,0.8728813559322034,0.026065941653720007,1.1610169491525424,21.110169491525422,7.8559322033898304,0.9999999999999999,0,0,0.0,0,0,0.0,5.0,4.0,6.0,7.0,5.0,4.0,6.0,7.0,0.9711016949152542,False,False
clean,shared_capacity,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,428,197,231,147,74,73,5445,5780,4143,1299,0.03627118644067796,0.012457627118644067,0.4614406779661017,0.48983050847457626,0.03400655964094597,0.4602803738317757,1.9576271186440677,0.012774037631624375,0.6186440677966102,35.110169491525426,11.008474576271187,1.0,0,0,0.0,0,0,0.0,9.0,5.0,10.0,10.0,1.0,0.0,4.0,7.400000000000006,0.9848305084745763,False,False
clean,shared_capacity,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,449,226,223,141,78,63,2475,8735,2912,974,0.038050847457627116,0.011949152542372882,0.2097457627118644,0.7402542372881356,0.03901260141550147,0.5033407572383074,1.8898305084745763,0.013464526152252718,0.5338983050847458,24.677966101694917,8.254237288135593,0.9999999999999999,0,0,0.0,0,0,0.0,8.0,7.0,8.0,9.0,2.0,2.0,3.0,4.0,0.9928813559322034,False,False
clean,uncertainty_gate_off,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,617,66525,30358,4774,3668,1106,1222,726,496,4996,55533,12305,4996,0.07176249530251785,0.01836903419767005,0.07509958662157083,0.8347688838782412,0.1208248237696818,0.7683284457478006,1.662532882375047,0.023914618881349232,0.7455843667794062,18.496805712138293,7.509958662157084,0.9999999999999999,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.842435174746336,False,False
clean,uncertainty_gate_off,many_labs_igt,participant_grouped_outer_cv,history_baseline,617,66525,30358,4744,2919,1825,900,436,464,6098,54783,42181,6098,0.07131153701615933,0.013528748590755355,0.09166478767380684,0.8234949267192785,0.09615257922129257,0.6153035413153457,2.7433295753476137,0.014361947427366756,0.6974821495678316,63.40623825629463,9.166478767380683,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,1.0,2.0,2.0,0.6821495678316423,False,False
clean,uncertainty_gate_off,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,617,66525,30358,4734,3252,1482,1223,737,486,4753,55815,14613,4753,0.07116121758737316,0.018384066140548667,0.0714468245020669,0.8390078917700112,0.1071216812701759,0.6869455006337135,2.2277339346110483,0.024276961591672707,0.7305524239007892,21.96617812852311,7.144682450206689,0.9999999999999999,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.8942653137918076,False,False
clean,uncertainty_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,59,11800,5793,466,312,154,118,61,57,1097,10119,2324,1097,0.039491525423728815,0.01,0.09296610169491526,0.8575423728813559,0.05385810460901087,0.6695278969957081,1.305084745762712,0.010529949939582254,0.4830508474576271,19.694915254237287,9.296610169491526,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.8066101694915254,False,False
clean,uncertainty_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,history_baseline,59,11800,5793,458,244,214,82,35,47,1743,9517,7880,1743,0.0388135593220339,0.006949152542372881,0.14771186440677966,0.8065254237288135,0.04211979975832902,0.5327510917030568,1.8135593220338984,0.0060417745554980145,0.3983050847457627,66.77966101694915,14.771186440677965,0.9999999999999999,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,0.0,2.0,2.0,0.6640677966101695,False,False
clean,uncertainty_gate_off,mendeley_igt_official_v2,frozen_external_official_v2_same_task,regularised_logistic,59,11800,5793,462,233,229,118,65,53,997,10223,2899,997,0.039152542372881356,0.01,0.08449152542372881,0.8663559322033898,0.04022095632660107,0.5043290043290043,1.9406779661016949,0.0112204384602106,0.4491525423728814,24.56779661016949,8.44915254237288,1.0,0,0,0.0,0,0,0.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,0.8727966101694915,False,False
