scope,model_name,outer_fold,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum
outer_training_history_exact,history_baseline,0,0.47,53190,24059,3317,496,17117,32260,3813,2286,1527,2100,1217,17503,588,0.06236134611769129,0.009325061101710847,0.32180861064109795,0.6065049821394999,0.07168640721940214,0.09501641797248431,0.5995279307631786,2.870840383530739,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0
outer_training_history_exact,history_baseline,0,0.48,53190,24059,3317,0,16529,33344,3317,2100,1217,2100,1217,17503,0,0.06236134611769129,0.0,0.31075390110923107,0.6268847527730776,0.06236134611769129,0.08728542333430317,0.6331022007838408,2.288024064673811,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0
outer_training_history_exact,history_baseline,0,0.49,53190,24059,3317,0,16529,33344,3317,2100,1217,2100,1217,17503,0,0.06236134611769129,0.0,0.31075390110923107,0.6268847527730776,0.06236134611769129,0.08728542333430317,0.6331022007838408,2.288024064673811,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0
outer_training_history_exact,history_baseline,0,0.5,53190,24059,3317,0,16529,33344,3317,2100,1217,2100,1217,17503,0,0.06236134611769129,0.0,0.31075390110923107,0.6268847527730776,0.06236134611769129,0.08728542333430317,0.6331022007838408,2.288024064673811,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0
outer_training_history_exact,history_baseline,0,0.51,53190,24059,3317,0,16529,33344,3317,2100,1217,2100,1217,17503,0,0.06236134611769129,0.0,0.31075390110923107,0.6268847527730776,0.06236134611769129,0.08728542333430317,0.6331022007838408,2.288024064673811,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0
outer_training_history_exact,history_baseline,0,0.52,53190,24059,3305,0,16529,33356,3305,2098,1207,2098,1207,17335,0,0.06213573980071442,0.0,0.31075390110923107,0.6271103590900545,0.06213573980071442,0.08720229435969908,0.6347957639939485,2.2692235382590713,0.08720229435969908,0.6347957639939485,2.2692235382590713,32.59071253995112,1.0
outer_training_history_exact,history_baseline,0,0.53,53190,24059,3216,579,17435,31960,3795,2335,1460,2060,1156,16021,906,0.0604624929498026,0.010885504794134237,0.32778717804098517,0.600864824215078,0.07134799774393683,0.09705307785028472,0.6152832674571805,2.7448768565519837,0.0856228438422212,0.6405472636815921,2.173340853543899,30.120323369054333,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.54,53190,24059,3169,670,18635,30716,3839,2346,1493,2038,1131,14875,2106,0.059578868208309835,0.01259635269787554,0.3503478097386727,0.5774769693551419,0.07217522090618538,0.09751028721060725,0.6110966397499349,2.8069185937206242,0.08470842512157613,0.6431050804670243,2.12633953750705,27.965783041925175,0.9999999999999999
outer_training_history_exact,history_baseline,0,0.55,53190,24059,3048,769,19950,29423,3817,2393,1424,1969,1079,13582,3421,0.05730400451212634,0.014457604812934762,0.3750705019740553,0.5531678887008836,0.07176160932506111,0.09946381811380356,0.6269321456641341,2.677194961458921,0.08184047549773474,0.645997375328084,2.0285768001504043,25.534874976499342,1.0
outer_training_history_exact,history_baseline,0,0.56,53190,24059,2965,798,21140,28287,3763,2359,1404,1914,1051,12446,4611,0.05574356081970295,0.01500282007896221,0.39744312840759544,0.5318104906937394,0.07074638089866517,0.0980506255455339,0.6268934360882275,2.6395939086294415,0.07955442869612203,0.6455311973018549,1.9759353261891333,23.399135175784924,1.0
