metric_family,dataset_id,evaluation_scope,model_name,cap_label,automated_alert_cap,metric,estimate,ci_low,ci_high,confidence_level,bootstrap_unit,bootstrap_method,bootstrap_replicates,bootstrap_seed,finite_replicates
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,6,6.0,auto_capacity_blocks_per_100,20.22096956031567,18.788057385027606,21.70442299321037,0.95,participant,cluster percentile; participants sampled with replacement,2000,21280813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,alert_rate,0.07176249530251785,0.07050491747977093,0.07300770243623352,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,human_review_rate,0.01836903419767005,0.018093481518486495,0.018634424336321835,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,abstain_rate,0.23266441187523487,0.22081954443684576,0.24517936284378758,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,no_action_rate,0.6772040586245772,0.6643531418424352,0.6894828323757071,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,action_route_rate,0.09013152950018789,0.08864878048956781,0.09157618699839706,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,event_coverage_by_action,0.14473944265103103,0.13956791362711993,0.14997199135918562,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,action_precision,0.7328218812541695,0.7190341187898065,0.7460264815860358,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,false_actions_per_100,2.4081172491544534,2.280300946930387,2.5372600524935636,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,event_coverage_by_alert,0.1208248237696818,0.11646879851350753,0.12534122222550154,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,alert_precision,0.7683284457478006,0.7528777568422699,0.7833684151441161,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,false_alerts_per_100,1.662532882375047,1.5540857343871135,1.7816276175549444,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,8,8.0,auto_capacity_blocks_per_100,18.496805712138293,17.028579863099644,19.947076772583966,0.95,participant,cluster percentile; participants sampled with replacement,2000,21290813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,alert_rate,0.2567305524239008,0.24245338517488402,0.2719578656577508,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,human_review_rate,0.01836903419767005,0.018115928523735746,0.018635710865447824,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,abstain_rate,0.23266441187523487,0.22042093282545572,0.24489609169038484,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,no_action_rate,0.4922360015031943,0.47574729392493964,0.5079968400636119,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,action_route_rate,0.27509958662157086,0.2609120833998433,0.29037408419046784,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,event_coverage_by_action,0.46811384149153434,0.44615567796369615,0.49110796261831147,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,action_precision,0.7765149445385499,0.7649559252546164,0.7878423534595815,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,false_actions_per_100,6.148064637354378,5.868133059354665,6.421206033000205,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,event_coverage_by_alert,0.44419922261018513,0.421906662044733,0.4667658023311533,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,alert_precision,0.789566133848586,0.7781793347166654,0.8011323732701555,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,false_alerts_per_100,5.402480270574972,5.1333237522383826,5.6729407593485135,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,effective_unbounded,151.0,auto_capacity_blocks_per_100,0.0,0.0,0.0,0.95,participant,cluster percentile; participants sampled with replacement,2000,21300813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,alert_rate,0.017121382938744833,0.016655413839741867,0.0175556197887723,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,human_review_rate,0.013092822247275461,0.012466313734890128,0.013718328804852072,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,abstain_rate,0.3811950394588501,0.3575239642944199,0.4048355995698085,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,no_action_rate,0.5885907553551296,0.5646321244878668,0.6125157917588907,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,action_route_rate,0.030214205186020294,0.029423055404245106,0.031027510230720704,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,event_coverage_by_action,0.03580604782923776,0.03396115687180332,0.037692771269513335,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,action_precision,0.5407960199004975,0.5203964922411751,0.5620728242617501,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,false_actions_per_100,1.3874483276963547,1.309343629067836,1.463458104667938,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,event_coverage_by_alert,0.022399367547269254,0.02098385126361147,0.02387761273965239,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,alert_precision,0.5970149253731343,0.5664249011857708,0.6270605685447546,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,false_alerts_per_100,0.6899661781285231,0.6360687630245948,0.7444586449544552,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,2,2.0,auto_capacity_blocks_per_100,39.915821119879745,37.20487108539286,42.64688308985654,0.95,participant,cluster percentile; participants sampled with replacement,2000,21310813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,alert_rate,0.03352123261931605,0.03257721792543457,0.03446185840014567,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,human_review_rate,0.013092822247275461,0.012484921019170798,0.013714166933239909,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,abstain_rate,0.3811950394588501,0.35620598304720485,0.40501859390055256,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,no_action_rate,0.5721909056745584,0.5485173441245966,0.5968128230841294,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,action_route_rate,0.04661405486659151,0.04548710747295269,0.04779214235330554,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,event_coverage_by_action,0.058765399565188746,0.05619566042227357,0.06164600047208058,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,action_precision,0.5752982908739116,0.5565957688363702,0.5949417821722698,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,false_actions_per_100,1.979706877113867,1.8776767921324344,2.0800666369948484,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,event_coverage_by_alert,0.04535871928322024,0.042875565597112655,0.04787972625307616,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,alert_precision,0.6174887892376681,0.5937868801751214,0.6412758220064045,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,false_alerts_per_100,1.2822247275460352,1.1948349905357127,1.3704057613337612,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
route_workload,many_labs_igt,participant_grouped_outer_cv,history_baseline,4,4.0,auto_capacity_blocks_per_100,38.275836151822624,35.751952971694564,40.92978124533171,0.95,participant,cluster percentile; participants sampled with replacement,2000,21320813,2000
